worksheet_id,customer_type,business_type_name,question,star_level,content,path_name,t1,t2,t3,worksheet_channel,operator_id,HT (Seconds)
t360287970232191314,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Otro_No utilizar_Ticket pendiente para mail,Otro,No utilizar,Ticket pendiente para mail,EMAIL,1236043,91
t360287970232191550,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Queja_Sobre el Pago_Me cobró antes de iniciar el viaje,Queja,Sobre el Pago,Me cobró antes de iniciar el viaje,EMAIL,1208059,222
t360287970232191971,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,No suban la tarifa por minuto que se respete la tarifa inicial o en su caso el descuento y conductores mas amables,Queja_Cupón_Cupón no se aplicó por conductor,Queja,Cupón,Cupón no se aplicó por conductor,EMAIL,1215199,228
t360287970232191987,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,La rapidez y el costo.,Duda_Sobre el Pago_Conductor demora en finalizar mi viaje,Duda,Sobre el Pago,Conductor demora en finalizar mi viaje,EMAIL,1213395,114
t360287970232192056,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,Son muy amables y danbue. Servicio,Queja_App_Como ingresar su tarjeta,Queja,App,Como ingresar su tarjeta,EMAIL,1233779,221
t360287970232192079,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,Ya van dos ocaciones que los conductores no detienen el viaje cuando me bajo de la unidad,Duda_Sobre el Pago_Conductor demora en finalizar mi viaje,Duda,Sobre el Pago,Conductor demora en finalizar mi viaje,EMAIL,1210103,274
t360287970232192495,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,Siempre hay autos disponible y no tardas mas que 4 a 5 minutos.Sin embargo_ te hacen 2 cargos a tu tarjeta_ lo cual es una molestia por cuestiones de interés. ,Queja_Sobre el Pago_Me cobró antes de iniciar el viaje,Queja,Sobre el Pago,Me cobró antes de iniciar el viaje,EMAIL,1213087,120
t360287970232192590,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Duda_Sobre el Pago_Conductor demora en finalizar mi viaje,Duda,Sobre el Pago,Conductor demora en finalizar mi viaje,EMAIL,1220139,56
t360287970232193193,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,Que no tardan en asignar un conductor,Queja_Sobre el Conductor_Mala Actitud,Queja,Sobre el Conductor,Mala Actitud,EMAIL,1213395,220
t360287970232193545,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Queja_APP_Falla de la aplicación debido a las especificaciones del telefono,Queja,APP,Falla de la aplicación debido a las especificaciones del telefono,EMAIL,1235331,258
t360287970232193575,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,Que como en mi caso_ NO deberían hacer cargos de peaje inexistentes.,Ganancias_Pago no completado_Pasajero no Pago (efectivo),Ganancias,Pago no completado,Pasajero no Pago (efectivo),EMAIL,1235331,118
t360287970232193876,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Duda_Sobre el Pago_Cambiar método de pago,Duda,Sobre el Pago,Cambiar método de pago,EMAIL,1233815,107
t360287970232194062,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,Lo practico que fue darme de alta y el apoyo telefónico ,Queja_Operación_Peaje(CDMX),Queja,Operación,Peaje(CDMX),EMAIL,1235331,344
t360287970232194450,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Queja_Sobre el Conductor_Peaje(otras ciudades),Queja,Sobre el Conductor,Peaje(otras ciudades),EMAIL,1208059,284
t360287970232194574,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Duda_App_¿Cómo solicito un viaje?,Duda,App,¿Cómo solicito un viaje?,EMAIL,1213387,137
t360287970232195099,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Recompensa_Incentivo (no Programa de Referidos)_Cuándo se le pagará los incentivos?,Recompensa,Incentivo (no Programa de Referidos),Cuándo se le pagará los incentivos?,EMAIL,1235331,359
t360287970232195180,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Duda_App_DiDi Cash,Duda,App,DiDi Cash,EMAIL,1213387,339
t360287970232195247,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Pago_No puede realizar pago_Banco no autoriza la transacción,Pago,No puede realizar pago,Banco no autoriza la transacción,EMAIL,1213391,61
t360287970232195301,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,,Duda_App_Cómo descargar,Duda,App,Cómo descargar,EMAIL,1283419,174
t360287970232195502,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,Todo,Queja_Sobre el Conductor_Mala Actitud,Queja,Sobre el Conductor,Mala Actitud,EMAIL,1283419,357
t360287970232195530,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Duda_Sobre el Pago_Conductor demora en finalizar mi viaje,Duda,Sobre el Pago,Conductor demora en finalizar mi viaje,EMAIL,1204067,108
t360287970232196171,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Duda_Cambios en Onboarding_Estatus de su registro,Duda,Cambios en Onboarding,Estatus de su registro,EMAIL,1235319,121
t360287970232196436,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,,Duda_Sobre el Pago_Conductor demora en finalizar mi viaje,Duda,Sobre el Pago,Conductor demora en finalizar mi viaje,EMAIL,1283551,131
t360287970232196728,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Queja_Sobre el Pago_Queja sobre el aumento del precio,Queja,Sobre el Pago,Queja sobre el aumento del precio,EMAIL,1204963,243
t360287970232196826,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,Pues mis puntos de vista son que ya a aumentado mucho la dinámica_ su tarifa aveces está muy elevada y todavía dieran un buen servicio pero no los conductores son tardados y muy groseros,Queja_Sobre el Conductor_Mala Actitud,Queja,Sobre el Conductor,Mala Actitud,EMAIL,1220703,131
t360287970232197013,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,Sugerencia estaria excelente resolver las inconformidades bien estructuradas de los clientes hacer llamadas de cortesía si no se entiende la situación con el cliente,Queja_Sobre el Pago_Cargo Doble (en efectivo y tarjeta),Queja,Sobre el Pago,Cargo Doble (en efectivo y tarjeta),EMAIL,1220647,86
t360287970232197197,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Duda_Compensación_¿Cómo solicito un reembolso?,Duda,Compensación,¿Cómo solicito un reembolso?,EMAIL,1283419,249
t360287970232197199,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,Los costos_ seguridad y que puedes facturar,Queja_App_No puede cancelar el viaje (antes de que Conductor acepte el viaje),Queja,App,No puede cancelar el viaje (antes de que Conductor acepte el viaje),EMAIL,1283551,56
t360287970232197303,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Queja_Promoción_Bono no recibido por Terminos y Condiciones,Queja,Promoción,Bono no recibido por Terminos y Condiciones,EMAIL,1241039,62
t360287970232197356,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,,Queja_Sobre el Conductor_Mala Actitud,Queja,Sobre el Conductor,Mala Actitud,EMAIL,1283391,168
t360287970232197475,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,,Queja_Sobre el Pago_Cómo funciona la tarifa de cancelación,Queja,Sobre el Pago,Cómo funciona la tarifa de cancelación,EMAIL,1220647,156
t360287970232197585,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,Exelente plataforma,Duda_Cambios en Onboarding_Como actualizar mis documentos,Duda,Cambios en Onboarding,Como actualizar mis documentos,EMAIL,1220579,123
t360287970232197728,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,Muy buen trabajo me a ayudado mucho a salir a adelante ❤,Duda_Onboarding_BGC No aprobado,Duda,Onboarding,BGC No aprobado,FAQ,1284763,143
t360287970232197751,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,Lo mejor son sus promociones ya que manejan las mejores tarifas.,Duda_Viajes_Pago pendiente,Duda,Viajes,Pago pendiente,EMAIL,1220647,116
t360287970232198121,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,El servicio es excelente _solo que está ves tuve un.pequeño.inconveniente _pero no por 1 chofer hablaré mal de la.empresa,Duda_Sobre el conductor_No veo a mi conductor,Duda,Sobre el conductor,No veo a mi conductor,EMAIL,1220647,152
